,Country,Total_cases,New_cases,Total_deaths,New_deaths,Total_recovered,Active_cases,Serious,Case_per_million,Deaths_per_million,Total_tests,Tests_per_million
46,Czechia,8460,5,298.0,2,5435.0,2727.0,39.0,790.0,28.0,353186.0,32988.0
47,Norway,8244,7,232.0,0,32.0,7980.0,20.0,1522.0,43.0,216350.0,39947.0
48,Argentina,7805,0,366.0,3,2569.0,4870.0,170.0,173.0,8.0,103220.0,2286.0
49,Australia,7045,9,98.0,0,6367.0,580.0,16.0,277.0,4.0,1042126.0,40928.0
50,Algeria,7019,198,548.0,6,3507.0,2964.0,22.0,160.0,13.0,6500.0,149.0
51,Bahrain,6930,183,12.0,0,2774.0,4144.0,6.0,4092.0,7.0,234978.0,138766.0
52,Malaysia,6894,22,113.0,0,5571.0,1210.0,13.0,213.0,3.0,443263.0,13718.0
53,Morocco,6870,129,192.0,0,3660.0,3018.0,1.0,186.0,5.0,89957.0,2441.0
54,Afghanistan,6664,262,169.0,1,778.0,5717.0,19.0,172.0,4.0,22639.0,583.0
55,Finland,6347,61,298.0,1,5000.0,1049.0,30.0,1146.0,54.0,146800.0,26500.0
56,Kazakhstan,6157,307,34.0,0,3090.0,3033.0,31.0,328.0,2.0,505216.0,26947.0
57,Moldova,6060,126,211.0,4,2344.0,3505.0,251.0,1502.0,52.0,20447.0,5067.0
58,Ghana,5735,0,29.0,0,1754.0,3952.0,5.0,185.0,0.9,173096.0,5586.0
59,Nigeria,5621,0,176.0,0,1472.0,3973.0,7.0,27.0,0.9,32942.0,160.0
60,Oman,5186,157,22.0,1,1465.0,3699.0,31.0,1019.0,4.0,61000.0,11986.0
61,Armenia,4472,189,60.0,5,1925.0,2487.0,10.0,1509.0,20.0,40230.0,13579.0
62,Luxembourg,3945,15,107.0,3,3702.0,136.0,14.0,6315.0,171.0,62153.0,99497.0
63,Bolivia,3826,249,165.0,1,473.0,3188.0,3.0,328.0,14.0,14803.0,1270.0
64,Hungary,3509,36,451.0,3,1396.0,1662.0,47.0,363.0,47.0,135137.0,13985.0
65,Iraq,3404,144,123.0,2,2218.0,1063.0,11.5,85.0,3.0,149701.0,3733.0
